country,year,category,share,value,pair_side
Honduras,2018,small_equipment,0.34,2.9,x
Honduras,2018,lamps,0.06,2.5,y
Honduras,2018,small_equipment,0.34,2.9,x
Honduras,2018,large_equipment,0.08,2.5,y
Honduras,2018,small_equipment,0.34,2.9,x
Honduras,2018,small_equipment,0.51,2.5,y
Honduras,2018,small_equipment,0.34,2.9,x
Honduras,2018,small_it,0.07,2.5,y
Honduras,2018,small_it,0.08,2.9,x
Honduras,2018,temperature_exchange_equipment,0.23,2.5,y
Honduras,2018,small_it,0.08,2.9,x
Honduras,2018,screens_and_monitors,0.05,2.5,y
Honduras,2018,small_it,0.08,2.9,x
Honduras,2018,lamps,0.06,2.5,y
Honduras,2018,small_it,0.08,2.9,x
Honduras,2018,large_equipment,0.08,2.5,y
Honduras,2018,small_it,0.08,2.9,x
Honduras,2018,small_equipment,0.51,2.5,y
Honduras,2018,small_it,0.08,2.9,x
Honduras,2018,small_it,0.07,2.5,y
Nicaragua,2018,temperature_exchange_equipment,0.26,3.2,x
Nicaragua,2018,temperature_exchange_equipment,0.31,2.4,y
Nicaragua,2018,temperature_exchange_equipment,0.26,3.2,x
Nicaragua,2018,screens_and_monitors,0.06,2.4,y
Nicaragua,2018,temperature_exchange_equipment,0.26,3.2,x
Nicaragua,2018,lamps,0.06,2.4,y
Nicaragua,2018,temperature_exchange_equipment,0.26,3.2,x
Nicaragua,2018,large_equipment,0.1,2.4,y
Nicaragua,2018,temperature_exchange_equipment,0.26,3.2,x
Nicaragua,2018,small_equipment,0.38,2.4,y
Nicaragua,2018,temperature_exchange_equipment,0.26,3.2,x
Nicaragua,2018,small_it,0.1,2.4,y
Nicaragua,2018,screens_and_monitors,0.13,3.2,x
Nicaragua,2018,temperature_exchange_equipment,0.31,2.4,y
Nicaragua,2018,screens_and_monitors,0.13,3.2,x
Nicaragua,2018,screens_and_monitors,0.06,2.4,y
Nicaragua,2018,screens_and_monitors,0.13,3.2,x
Nicaragua,2018,lamps,0.06,2.4,y
Nicaragua,2018,screens_and_monitors,0.13,3.2,x
Nicaragua,2018,large_equipment,0.1,2.4,y
Nicaragua,2018,screens_and_monitors,0.13,3.2,x
Nicaragua,2018,small_equipment,0.38,2.4,y
Nicaragua,2018,screens_and_monitors,0.13,3.2,x
Nicaragua,2018,small_it,0.1,2.4,y
Nicaragua,2018,lamps,0.03,3.2,x
Nicaragua,2018,temperature_exchange_equipment,0.31,2.4,y
Nicaragua,2018,lamps,0.03,3.2,x
Nicaragua,2018,screens_and_monitors,0.06,2.4,y
Nicaragua,2018,lamps,0.03,3.2,x
Nicaragua,2018,lamps,0.06,2.4,y
Nicaragua,2018,lamps,0.03,3.2,x
Nicaragua,2018,large_equipment,0.1,2.4,y
Nicaragua,2018,lamps,0.03,3.2,x
Nicaragua,2018,small_equipment,0.38,2.4,y
Nicaragua,2018,lamps,0.03,3.2,x
Nicaragua,2018,small_it,0.1,2.4,y
Nicaragua,2018,large_equipment,0.09,3.2,x
Nicaragua,2018,temperature_exchange_equipment,0.31,2.4,y
Nicaragua,2018,large_equipment,0.09,3.2,x
